,ID,Major,International,Living_Arrange,Instruct_Difficulty,Motivation,Interaction_Students,Interaction_Instructor,Sentiment_Score,Joy_Count,Anger_Count,Pos_Count,Neg_Count
132,132,Non-STEM,No,At home in californa,No,Equally motivated,2,1,,2,0,9,1
133,133,Non-STEM,No,At home in californa,No,Equally motivated,2,1,,0,0,2,0
134,134,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,2,0,6,2
135,135,STEM,No,In US but outside CA,No,Less motivated than before?,1,2,,5,0,9,4
136,136,STEM,No,At home in californa,No,More motivated,2,2,,0,0,0,0
137,137,Non-STEM,No,At home in californa,No,Less motivated than before?,1,1,,1,4,7,8
138,138,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,,4,1,5,11
139,139,STEM,Yes,Outside US,No,Equally motivated,2,2,,1,1,3,2
140,140,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,1,,3,0,9,6
141,141,STEM,No,In US but outside CA,No,Equally motivated,2,1,,1,4,8,4
142,142,STEM,No,At home in californa,No,Less motivated than before?,2,2,,0,0,0,0
143,143,STEM,,,,,NA,NA,,0,0,0,0
144,144,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,4,0,10,3
145,145,STEM,Yes,In my apartment,Yes,Less motivated than before?,2,1,,0,0,0,0
146,146,STEM,Yes,In dorms,No,More motivated,2,2,,3,0,5,1
147,147,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,1,0,2,0
148,148,STEM,Yes,In my apartment,No,Equally motivated,2,1,,2,1,4,1
149,149,STEM,No,At home in californa,No,Equally motivated,2,2,,0,0,3,1
150,150,Non-STEM,No,At home in californa,No,More motivated,2,1,,0,0,2,2
151,151,Non-STEM,Yes,At home in californa,Yes,Equally motivated,1,2,,7,1,12,3
152,152,STEM,Yes,In my apartment,No,Equally motivated,2,2,,1,0,3,2
153,153,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,,0,1,1,1
154,154,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,0,2,2,5
155,155,STEM,Yes,In US but outside CA,No,Less motivated than before?,2,2,,2,3,5,8
156,156,STEM,No,At home in californa,No,More motivated,2,2,,0,0,1,0
157,157,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,1,0,5,2
158,158,STEM,No,At home in californa,No,Less motivated than before?,2,1,,1,2,7,7
159,159,STEM,Yes,In my apartment,Yes,Equally motivated,2,1,,0,0,2,1
160,160,STEM,No,At home in californa,No,Equally motivated,2,2,,4,2,8,5
161,161,STEM,Yes,Outside US,Yes,Equally motivated,2,2,,2,1,8,1
162,162,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,,0,0,3,4
163,163,STEM,Yes,In dorms,No,Equally motivated,2,1,,3,2,10,8
164,164,STEM,Yes,In dorms,No,Less motivated than before?,1,1,,13,4,27,14
165,165,STEM,No,At home in californa,No,Less motivated than before?,2,1,,2,2,3,6
166,166,STEM,No,In my apartment,No,More motivated,1,2,,1,5,7,11
167,167,STEM,No,In my apartment,No,Equally motivated,2,2,,1,1,4,1
168,168,STEM,No,At home in californa,Yes,More motivated,2,1,,1,3,7,9
169,169,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,0,0,4,1
170,170,STEM,No,At home in californa,No,More motivated,1,1,,1,2,10,7
171,171,Non-STEM,Yes,In US but outside CA,No,More motivated,1,2,,5,1,16,9
172,172,STEM,No,At home in californa,No,Less motivated than before?,1,2,,0,1,1,6
173,173,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,0,0,1,1
174,174,STEM,No,At home in californa,No,Less motivated than before?,2,2,,0,0,2,5
175,175,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,,2,0,7,7
176,176,STEM,Yes,Outside US,No,More motivated,2,1,,0,0,2,0
177,177,STEM,No,At home in californa,Yes,More motivated,2,2,,2,2,3,5
178,178,STEM,Yes,Outside US,No,Equally motivated,2,1,,0,0,1,0
179,179,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,6,0,9,2
180,180,STEM,No,At home in californa,No,More motivated,2,2,,2,1,3,4
181,181,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,4,2,10,7
182,182,STEM,No,At home in californa,No,Equally motivated,1,2,0,2,1,6,6
183,183,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,2,0,1,6,7,10
184,184,STEM,Yes,Outside US,No,Equally motivated,2,2,1,9,3,17,10
185,185,STEM,Yes,Outside US,No,Equally motivated,2,2,0,2,2,5,3
186,186,STEM,No,In my apartment,No,Equally motivated,2,2,1,4,3,14,9
187,187,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,0,0,0,0
188,188,STEM,No,In my apartment,Yes,Less motivated than before?,2,2,1,0,0,3,2
189,189,STEM,Yes,At home in californa,No,Equally motivated,1,1,1,2,2,3,2
190,190,Non-STEM,Yes,In dorms,No,Less motivated than before?,1,1,0,0,1,2,2
191,191,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,12,4,26,13
192,192,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,1,0,5,3
193,193,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,3,1,15,6
194,194,STEM,Yes,In my apartment,Yes,Less motivated than before?,2,2,0,1,0,3,1
195,195,STEM,Yes,Outside US,Yes,Equally motivated,2,1,0,0,1,5,9
196,196,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,3,5,15,10
197,197,STEM,No,At home in californa,No,Less motivated than before?,2,2,0,2,1,5,7
198,198,STEM,No,At home in californa,No,Less motivated than before?,2,2,0,4,1,16,2
199,199,Non-STEM,No,In US but outside CA,Yes,Equally motivated,2,2,0,3,3,10,19
200,200,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,2,1,10,5
201,201,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,1,1,2,1
202,202,Non-STEM,No,In dorms,Yes,Equally motivated,2,1,0,3,1,5,2
203,203,Non-STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,0,1,0,5,4
204,204,STEM,No,In US but outside CA,No,Equally motivated,2,2,0,5,3,16,10
205,205,STEM,Yes,In dorms,No,Less motivated than before?,1,2,NA,0,0,0,0
206,206,STEM,No,In my apartment,No,Equally motivated,2,1,0,0,1,5,4
207,207,Non-STEM,Yes,Outside US,No,Less motivated than before?,2,1,0,4,2,9,4
208,208,Non-STEM,No,At home in californa,Yes,More motivated,2,1,0,2,1,5,1
209,209,Non-STEM,Yes,Outside US,No,Less motivated than before?,2,1,1,5,1,17,7
210,210,Non-STEM,Yes,Outside US,No,Less motivated than before?,2,1,1,0,0,1,0
211,211,STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,1,4,1,9,1
212,212,STEM,No,At home in californa,No,Equally motivated,2,1,0,0,0,2,1
213,213,STEM,Yes,Outside US,No,Less motivated than before?,2,2,1,1,1,6,2
214,214,STEM,Yes,In dorms,No,Less motivated than before?,2,1,1,0,0,0,0
215,215,STEM,No,At home in californa,No,Equally motivated,2,2,1,0,0,5,3
